HHNo,area,age_of_respondent,chronic_illness,nhif_usage,nssf_usage,most_important_life_goal,income_source,avg_mnth_income,hse_land_loan,securities_use,nearest_financial_prod,land_house_ownership,total_exp_per_moth,electronic_device,motorvehicle_ownership,livestock_ownership,insurance
1136,Urban,48,No,No,No,Food,Casual_work,6000.0,No,No,MMoney,No,10000,No,Yes,False,Yes
1014,Urban,46,No,No,No,Education,Business,7000.0,No,No,MMoney,Yes,10000,No,No,False,No
1009,Rural,41,No,Yes,Yes,Health,Agriculture,70000.0,Yes,No,MMoney,Yes,10000,Yes,No,True,Yes
1063,Rural,28,No,No,No,Education,Agriculture,5000.0,No,No,MMoney,No,5000,No,No,True,Yes
1018,Rural,23,No,Yes,No,Food,Business,5000.0,No,No,MMoney,No,8000,Yes,No,False,Yes
1078,Rural,52,No,Yes,Yes,Business,Employment,20000.0,No,No,MMoney,Yes,10000,No,Yes,False,Yes
1024,Rural,32,No,No,No,Food,Casual_work,10000.0,No,No,MMoney,Yes,9000,No,No,False,No
1067,Rural,43,No,No,No,Business,Agriculture,4000.0,No,No,MMoney,Yes,5000,Yes,No,False,Yes
1005,Urban,40,No,Yes,No,Health,Business,15000.0,No,No,MMoney,No,15000,No,No,False,Yes
1049,Urban,56,No,No,No,Business,Agriculture,1000.0,No,No,MMoney,No,5000,No,No,False,No
1042,Rural,70,Yes,No,No,Health,Agriculture,200.0,No,No,MMoney,Yes,2000,No,No,True,No
1120,Urban,26,No,No,No,Career,Business,2000.0,No,No,MMoney,No,13000,No,No,False,No
1005,Urban,42,No,No,No,Business,Family,,No,No,MMoney,Yes,50000,Yes,No,False,Yes
1097,Rural,17,No,No,No,Education,Family,3800.0,No,No,MMoney,Yes,10000,No,No,True,No
1066,Rural,30,No,No,No,Health,Agriculture,4000.0,No,No,MMoney,Yes,16000,No,Yes,True,Yes
1068,Urban,28,No,Yes,Yes,Business,Family,3000.0,No,No,MMoney,Yes,15000,Yes,Yes,False,Yes
1045,Urban,28,No,Yes,No,Food,Family,15000.0,No,No,MMoney,No,30000,Yes,No,False,Yes
1095,Urban,25,No,Yes,No,Food,Family,2000.0,No,No,MMoney,No,10000,Yes,No,False,Yes
1052,Urban,34,No,No,No,Health,Casual_work,10000.0,No,No,MMoney,Yes,10000,No,No,False,Yes
1075,Urban,31,No,No,No,Home,Business,15000.0,No,No,MMoney,No,20000,Yes,Yes,False,Yes
1049,Urban,22,No,Yes,No,Food,Casual_work,22000.0,No,No,MMoney,No,20000,No,No,False,Yes
1102,Rural,70,Yes,No,No,Health,Agriculture,3000.0,No,No,MMoney,Yes,5000,No,Yes,False,Yes
1079,Rural,44,No,No,No,Education,Agriculture,,No,No,MMoney,Yes,20000,Yes,No,False,Yes
1040,Rural,26,No,No,No,Education,Agriculture,10000.0,No,No,MMoney,Yes,12000,No,No,False,No
1078,Urban,30,No,Yes,Yes,Food,Casual_work,9000.0,No,No,MMoney,No,7000,Yes,No,False,Yes
1063,Rural,26,No,No,No,Education,Family,2000.0,No,No,MMoney,No,5000,Yes,No,False,Yes
1034,Urban,36,No,No,No,Career,Casual_work,,No,No,MMoney,No,15000,Yes,No,False,No
1042,Rural,61,No,No,No,Food,Family,,No,No,MMoney,Yes,6000,No,No,False,No
1102,Rural,26,No,No,No,Education,Casual_work,3000.0,No,No,MMoney,No,6000,No,No,True,No
1111,Urban,34,No,No,Yes,Career,Business,2000.0,No,No,MMoney,Yes,13000,No,No,False,Yes
1049,Urban,60,Yes,Yes,No,Health,Family,,Yes,No,MMoney,Yes,10000,Yes,No,False,Yes
1062,Rural,65,Yes,No,No,Food,Casual_work,,No,No,MMoney,Yes,2000,No,No,False,No
1004,Rural,45,No,No,No,Business,Business,100000.0,No,No,MMoney,Yes,18000,Yes,No,False,No
1009,Urban,76,No,Yes,Yes,Health,Employment,50000.0,No,No,MMoney,No,30000,Yes,No,False,Yes
1053,Rural,19,No,No,No,Education,Family,10000.0,No,No,MMoney,Yes,5000,Yes,No,False,No
1111,Urban,30,No,No,Yes,Food,Employment,44000.0,Yes,No,MMoney,Yes,35000,Yes,No,False,Yes
1070,Urban,30,No,No,No,Assets,Casual_work,20000.0,No,No,Bank,No,11000,No,No,False,No
1087,Urban,76,Yes,Yes,Yes,Business,Family,15000.0,No,No,MMoney,Yes,7000,Yes,No,False,Yes
1013,Urban,23,No,No,No,Education,Casual_work,20000.0,No,No,MMoney,No,10000,No,No,False,No
1050,Urban,23,No,Yes,No,Career,Casual_work,4000.0,No,No,MMoney,No,6000,No,No,False,Yes
1011,Urban,48,No,Yes,No,Home,Casual_work,20000.0,No,No,MMoney,No,10000,No,No,False,Yes
1040,Rural,23,No,No,No,Food,Family,5000.0,No,No,MMoney,No,6000,Yes,No,False,No
1068,Rural,23,No,No,No,Business,Casual_work,4000.0,No,No,MMoney,Yes,1050,No,Yes,True,Yes
1006,Urban,32,Yes,Yes,No,Health,Family,500.0,No,Yes,Bank,No,5000,Yes,No,False,Yes
1118,Urban,23,No,Yes,Yes,Food,Employment,18000.0,No,No,MMoney,No,15500,Yes,No,False,Yes
1071,Rural,18,No,No,No,Education,Family,200.0,No,No,MMoney,No,20000,No,No,False,No
1032,Urban,23,No,Yes,Yes,Food,Employment,10000.0,Yes,No,MMoney,No,7000,Yes,No,False,Yes
1109,Urban,43,No,Yes,No,Food,Casual_work,10000.0,No,No,MMoney,Yes,5000,Yes,No,False,Yes
1041,Urban,64,Yes,No,No,Health,Agriculture,,No,No,MMoney,Yes,5000,No,No,False,No
1079,Rural,54,No,No,No,Business,Agriculture,15000.0,No,No,MMoney,Yes,15000,No,No,False,Yes
1050,Rural,18,No,No,No,Education,Family,2000.0,No,No,MMoney,No,8000,No,No,False,No
1003,Urban,42,No,Yes,Yes,Health,Employment,28000.0,No,No,MMoney,No,25000,Yes,Yes,False,Yes
1060,Rural,31,No,No,No,Food,Casual_work,1500.0,No,No,MMoney,No,10000,No,No,True,No
1070,Urban,51,Yes,Yes,No,Food,Agriculture,20000.0,No,No,MMoney,No,15000,No,No,False,Yes
1100,Urban,30,No,Yes,Yes,Business,Business,,Yes,No,MMoney,No,20000,No,No,False,Yes
1082,Urban,49,No,No,No,Business,Casual_work,25000.0,No,No,MMoney,No,6000,No,No,False,Yes
1074,Urban,28,No,No,No,Career,Family,,No,No,MMoney,No,15000,No,No,False,No
1113,Urban,19,No,Yes,No,Education,Casual_work,25000.0,No,No,MMoney,Yes,14000,No,No,False,Yes
1049,Rural,64,No,Yes,Yes,Food,Renting,3000.0,Yes,Yes,MMoney,Yes,20000,No,No,False,Yes
1057,Rural,79,No,No,No,Health,Agriculture,2000.0,No,No,MMoney,Yes,2000,No,No,True,No
1023,Urban,35,No,Yes,No,Education,Casual_work,12000.0,No,No,MMoney,No,10000,No,No,False,Yes
1072,Rural,20,No,No,No,Food,Casual_work,12000.0,No,No,MMoney,Yes,3000,No,No,False,No
1028,Urban,40,No,No,No,Food,Casual_work,5000.0,No,No,MMoney,No,9000,No,No,False,No
1022,Urban,32,No,No,No,Career,Casual_work,,No,No,MMoney,No,6500,No,No,False,Yes
1133,Urban,31,No,No,No,Food,Casual_work,,No,No,MMoney,No,15000,Yes,No,False,No
1042,Urban,39,No,No,No,Education,Business,20000.0,No,No,MMoney,No,25000,No,No,False,No
1001,Rural,30,No,No,No,Food,Casual_work,20000.0,No,No,MMoney,No,10000,No,No,False,No
1036,Urban,39,No,No,No,Business,Business,10000.0,No,No,MMoney,No,5000,No,No,False,Yes
1068,Rural,45,No,Yes,No,Education,Agriculture,5000.0,No,No,MMoney,No,3000,Yes,Yes,True,Yes
1060,Urban,37,No,No,No,Career,Family,,No,No,MMoney,No,7500,No,No,False,No
1035,Urban,43,No,Yes,Yes,Food,Casual_work,6000.0,No,No,MMoney,Yes,10000,No,No,False,Yes
1035,Rural,45,No,No,No,Health,Agriculture,10000.0,No,No,MMoney,Yes,4000,No,No,True,No
1044,Rural,49,No,No,No,Health,Employment,12000.0,No,No,MMoney,Yes,10000,No,No,False,No
1015,Urban,27,No,No,No,Business,Family,12000.0,No,No,MMoney,No,30000,No,No,False,Yes
1028,Urban,42,No,No,No,Education,Casual_work,16000.0,No,No,MMoney,No,16000,No,No,False,No
1099,Rural,40,No,Yes,No,Food,Agriculture,30000.0,No,No,MMoney,Yes,30000,No,No,False,Yes
1061,Rural,32,No,No,No,Education,Agriculture,,No,No,MMoney,No,18000,No,Yes,True,No
1017,Urban,30,No,No,No,Business,Business,,Yes,No,MMoney,No,18000,Yes,No,False,Yes
1011,Urban,30,No,No,No,Food,Casual_work,5000.0,No,No,MMoney,No,18000,Yes,No,False,Yes
1012,Rural,62,Yes,Yes,No,Education,Agriculture,,No,No,MMoney,Yes,12000,Yes,No,False,Yes
1022,Urban,38,No,Yes,No,Food,Agriculture,10000.0,Yes,No,MMoney,No,20000,No,No,False,Yes
1057,Urban,70,Yes,Yes,Yes,Health,Renting,10000.0,No,No,MMoney,Yes,20000,Yes,Yes,False,Yes
1014,Rural,35,Yes,No,No,Food,Casual_work,2000.0,No,No,MMoney,Yes,2000,No,No,False,No
1015,Urban,48,Yes,Yes,Yes,Business,Employment,16000.0,No,No,MMoney,No,12000,No,Yes,False,Yes
1125,Urban,39,No,Yes,Yes,Food,Casual_work,7200.0,No,No,MMoney,No,6000,No,No,False,Yes
1086,Urban,29,No,Yes,Yes,Business,Business,70000.0,Yes,No,MMoney,No,30000,Yes,No,False,Yes
1070,Rural,50,Don't Know,No,No,Food,Family,,No,No,MMoney,Yes,2000,No,No,False,No
1082,Rural,55,No,No,No,Health,Casual_work,15000.0,No,No,MMoney,Yes,1600,No,No,True,Yes
1117,Urban,98,No,No,No,Health,Family,5000.0,No,No,MMoney,Yes,4000,No,No,False,No
1044,Urban,29,No,Yes,No,Business,Business,6000.0,No,No,MMoney,No,10000,No,No,False,Yes
1036,Urban,26,Yes,No,No,Education,Agriculture,15000.0,No,No,MMoney,Yes,15000,No,Yes,False,No
1048,Rural,32,No,No,No,Food,Business,8000.0,No,No,MMoney,Yes,5000,No,No,False,Yes
1096,Urban,22,No,No,No,Education,Casual_work,4500.0,No,No,MMoney,No,6000,Yes,No,False,No
1039,Rural,38,No,Yes,No,Education,Family,8000.0,No,No,MMoney,Yes,18000,No,Yes,False,Yes
1047,Urban,32,No,No,No,Food,Casual_work,12000.0,No,Yes,MMoney,No,8000,No,No,False,Yes
1063,Urban,42,No,No,No,Career,Casual_work,10000.0,No,Yes,MMoney,No,8000,No,No,False,No
1007,Rural,59,Yes,Yes,Yes,Education,Employment,30000.0,Yes,No,MMoney,Yes,30000,Yes,No,False,Yes
1094,Urban,32,No,No,No,Career,Casual_work,5000.0,No,No,MMoney,No,5000,No,No,False,No
1021,Urban,35,No,Yes,Yes,Food,Employment,20000.0,Yes,Yes,MMoney,No,10000,Yes,No,False,Yes
1007,Rural,24,No,No,No,Food,Employment,7000.0,No,No,MMoney,Yes,7000,No,No,False,No
1068,Rural,27,No,No,No,Food,Casual_work,6000.0,No,No,MMoney,No,5000,No,No,False,No
1037,Urban,35,No,Yes,No,Food,Casual_work,6000.0,No,No,MMoney,No,6000,Yes,No,False,Yes
1035,Urban,21,No,No,No,Education,Family,3000.0,No,No,MMoney,No,4000,Yes,No,False,No
1091,Rural,25,No,Yes,No,Food,Business,15000.0,No,No,MMoney,No,10000,No,No,False,Yes
1070,Rural,37,No,Yes,Yes,Career,Employment,7000.0,No,No,MMoney,No,10000,No,No,False,Yes
1013,Urban,19,No,No,No,Business,Family,1000.0,No,No,MMoney,No,5000,No,No,False,No
1011,Urban,24,No,No,No,Food,Casual_work,20000.0,No,No,MMoney,No,8000,Yes,Yes,False,No
1106,Rural,52,No,No,No,Food,Family,21000.0,No,No,MMoney,Yes,12000,No,No,False,Yes
1069,Urban,30,No,No,No,Education,Family,5000.0,No,No,MMoney,No,12000,No,No,False,No
1090,Urban,40,No,No,No,Home,Business,,No,No,MMoney,No,7000,No,No,False,Yes
1030,Rural,19,No,No,No,Food,Employment,2000.0,No,No,MMoney,Yes,3000,No,No,True,No
1022,Urban,24,No,No,No,Food,Casual_work,8000.0,No,No,MMoney,Yes,5000,No,No,True,Yes
1046,Urban,45,No,No,No,Career,Casual_work,8500.0,No,No,MMoney,Yes,3000,Yes,No,False,No
1091,Rural,27,No,No,No,Business,Business,15000.0,Yes,No,MMoney,No,10000,No,No,False,Yes
1014,Urban,47,No,No,No,Food,Casual_work,4000.0,No,No,MMoney,No,3000,No,No,False,No
1009,Rural,45,No,No,No,Health,Casual_work,10000.0,No,No,MMoney,Yes,6000,No,No,False,No
1036,Rural,80,No,No,No,Food,Family,1000.0,No,No,MMoney,Yes,3000,No,No,True,Yes
1059,Rural,53,No,No,No,Food,Casual_work,,No,No,MMoney,Yes,7000,No,No,False,Yes
1075,Urban,18,No,Yes,Yes,Education,Employment,10000.0,No,No,MMoney,No,15000,Yes,Yes,False,Yes
1067,Rural,64,No,No,No,Health,Agriculture,5000.0,No,No,MMoney,Yes,6000,No,No,True,Yes
1061,Rural,17,No,No,No,Education,Family,500.0,No,No,MMoney,Yes,15000,Yes,No,False,No
1086,Rural,23,No,No,No,Business,Family,5000.0,No,No,Bank,No,5000,No,No,False,No
1057,Rural,61,Yes,Yes,Yes,Food,Family,1500.0,No,No,MMoney,Yes,2500,No,No,False,Yes
1060,Urban,35,No,No,No,Food,Family,2000.0,No,No,MMoney,No,10000,Yes,No,False,No
1022,Rural,22,No,No,No,Food,Casual_work,6000.0,No,No,MMoney,Yes,6500,No,No,False,No
1012,Rural,49,No,No,No,Food,Casual_work,1000.0,No,No,MMoney,Yes,8000,No,Yes,False,Yes
1035,Urban,28,No,No,No,Business,Casual_work,,No,No,MMoney,Yes,15000,Yes,No,False,Yes
1072,Rural,24,No,No,No,Food,Casual_work,7000.0,No,No,MMoney,No,7000,No,No,False,No
1111,Urban,52,No,No,No,Education,Casual_work,6000.0,No,No,MMoney,No,12000,No,No,False,No
1127,Urban,42,No,Yes,Yes,Food,Casual_work,11000.0,Yes,No,MMoney,Yes,6500,No,No,False,Yes
1030,Urban,34,No,No,No,Food,Family,8000.0,No,No,MMoney,No,5000,No,No,False,No
1044,Rural,41,No,Yes,Yes,Education,Casual_work,6000.0,No,No,MMoney,Yes,7500,No,No,False,Yes
1084,Rural,36,No,No,No,Health,Casual_work,3000.0,No,No,MMoney,No,10000,No,No,False,No
1091,Urban,35,No,No,No,Health,Casual_work,15000.0,No,No,MMoney,No,12000,No,No,False,No
1130,Rural,61,No,No,No,Food,Casual_work,20000.0,No,No,MMoney,No,13000,No,No,False,No
1064,Urban,35,No,No,No,Food,Employment,30000.0,No,No,MMoney,No,20000,No,No,False,No
1083,Rural,49,No,No,No,Business,Agriculture,6700.0,No,No,MMoney,Yes,9000,No,No,False,No
1067,Urban,40,No,No,No,Food,Casual_work,15000.0,No,No,MMoney,No,10000,No,No,False,No
1080,Urban,42,No,No,No,Business,Business,,Yes,No,MMoney,No,20000,Yes,No,False,No
1014,Rural,21,No,No,No,Career,Agriculture,10000.0,No,No,MMoney,Yes,10000,No,No,False,No
1127,Rural,32,No,No,No,Food,Casual_work,4000.0,No,No,MMoney,Yes,3000,No,No,True,No
1012,Urban,65,Yes,No,No,Business,Agriculture,,No,No,MMoney,Yes,12000,Yes,No,False,Yes
1012,Rural,27,No,Yes,Yes,Food,Casual_work,20000.0,No,No,MMoney,No,10000,Yes,No,False,Yes
1074,Rural,34,Yes,Yes,No,Education,Casual_work,10000.0,No,No,MMoney,No,50000,Yes,Yes,False,Yes
1026,Urban,18,No,No,No,Business,Family,2800.0,No,No,MMoney,No,5000,No,No,False,No
1024,Urban,23,No,No,No,Health,Casual_work,7000.0,No,No,MMoney,No,7000,No,No,False,No
1055,Urban,29,No,No,No,Education,Casual_work,12000.0,No,No,MMoney,No,10000,No,No,False,No
1003,Rural,20,No,No,No,Career,Casual_work,5000.0,No,No,MMoney,Yes,3000,No,No,False,No
1011,Rural,26,Yes,No,No,Food,Agriculture,3000.0,No,No,MMoney,No,5000,Yes,Yes,True,No
1018,Urban,26,No,Yes,Yes,Career,Casual_work,10000.0,Yes,No,MMoney,No,6000,Yes,No,False,Yes
1026,Rural,31,No,Yes,Yes,Health,Employment,30000.0,No,No,MMoney,Yes,7000,No,No,True,Yes
1105,Rural,24,No,No,No,Food,Casual_work,4000.0,No,No,MMoney,No,12000,No,No,True,Yes
1098,Rural,21,No,No,No,Food,Casual_work,2000.0,No,No,MMoney,No,2000,No,No,False,No
1013,Urban,17,No,Yes,No,Food,Casual_work,10000.0,No,No,MMoney,No,15000,Yes,No,False,Yes
1018,Urban,72,No,Yes,No,Food,Family,5000.0,No,No,MMoney,No,5000,Yes,No,False,Yes
1016,Urban,45,No,Yes,No,Business,Employment,10000.0,No,No,MMoney,No,8000,Yes,No,False,Yes
1028,Urban,24,No,No,No,Food,Family,3000.0,No,No,MMoney,No,20000,Yes,Yes,False,No
1085,Urban,40,No,No,No,Food,Business,5000.0,No,No,MMoney,No,20000,Yes,No,False,No
1027,Urban,26,No,Yes,No,Education,Family,2000.0,No,No,MMoney,Yes,20000,Yes,No,False,Yes
1086,Rural,19,No,No,No,Food,Casual_work,5000.0,No,No,MMoney,Yes,5000,Yes,No,False,No
1055,Rural,65,No,No,No,Food,Agriculture,7000.0,No,No,MMoney,Yes,6000,No,No,False,No
1025,Rural,33,No,No,No,Education,Agriculture,5000.0,No,No,MMoney,Yes,4000,No,No,False,No
1109,Rural,46,No,No,No,Health,Employment,6000.0,No,No,MMoney,No,15000,No,No,False,No
1020,Urban,17,Yes,No,No,Education,Family,500.0,No,No,MMoney,No,5000,No,No,False,No
1065,Urban,23,No,Yes,No,Food,Casual_work,15000.0,No,No,MMoney,No,20000,No,No,False,Yes
1027,Rural,31,No,No,No,Food,Business,15000.0,No,No,MMoney,No,30000,Yes,Yes,False,Yes
1028,Rural,49,No,No,No,Food,Agriculture,3000.0,No,No,MMoney,Yes,2000,No,No,False,No
1105,Rural,31,Yes,No,No,Food,Casual_work,1000.0,No,No,MMoney,Yes,10300,No,No,True,No
1043,Urban,57,No,Yes,Yes,Business,Renting,5000.0,No,No,MMoney,Yes,4000,Yes,No,False,Yes
1003,Urban,32,No,Yes,Yes,Business,Employment,7000.0,Yes,No,MMoney,No,15000,Yes,No,False,Yes
1031,Rural,30,Yes,No,No,Food,Family,,No,No,MMoney,No,8000,No,No,False,No
1055,Urban,23,No,Yes,No,Career,Family,,No,No,MMoney,No,50000,Yes,No,False,Yes
1056,Rural,40,No,No,No,Business,Casual_work,4000.0,No,Yes,MMoney,No,9000,No,No,False,No
1090,Urban,18,Yes,No,No,Education,Family,1000.0,No,No,MMoney,No,10000,Yes,No,False,No
1115,Urban,42,No,Yes,No,Food,Family,10000.0,No,No,MMoney,No,10000,Yes,No,False,Yes
1072,Urban,42,No,Yes,No,Health,Employment,25000.0,No,No,MMoney,Yes,1800,Yes,No,False,Yes
1050,Urban,56,No,Yes,Yes,Business,Business,3000.0,No,No,MMoney,No,7000,Yes,No,False,Yes
1084,Rural,60,Yes,Yes,No,Food,Casual_work,1000.0,No,No,MMoney,Yes,7000,No,No,False,Yes
1060,Urban,23,No,No,Yes,Education,Family,6000.0,No,No,MMoney,No,6000,Yes,No,False,Yes
1037,Rural,17,Yes,No,No,Food,Agriculture,3000.0,No,No,MMoney,Yes,6000,No,No,True,No
1034,Urban,40,Yes,Yes,Yes,Food,Business,3000.0,No,No,MMoney,No,20000,No,No,False,Yes
1021,Urban,52,No,No,No,Health,Casual_work,24000.0,No,No,MMoney,Yes,18000,No,No,True,Yes
1027,Urban,27,No,No,No,Food,Casual_work,6000.0,No,No,MMoney,No,14000,No,No,False,No
1022,Rural,32,No,No,No,Food,Business,2000.0,No,No,MMoney,Yes,8000,No,No,False,Yes
1018,Urban,28,No,No,No,Health,Casual_work,12000.0,No,No,MMoney,No,10000,Yes,No,False,No
1004,Rural,58,Yes,No,No,Education,Agriculture,3000.0,No,No,MMoney,Yes,6000,No,No,True,No
1095,Urban,64,Yes,No,No,Food,Renting,5000.0,Yes,Yes,MMoney,Yes,15000,Yes,No,False,Yes
1033,Rural,38,No,Yes,Yes,Food,Agriculture,1500.0,No,No,MMoney,Yes,5000,No,No,False,Yes
1085,Urban,37,No,No,No,Business,Business,,No,No,MMoney,No,10000,No,Yes,False,No
1054,Urban,20,No,No,No,Home,Casual_work,10000.0,No,Yes,MMoney,No,6000,Yes,No,False,No
1090,Urban,23,No,No,No,Food,Casual_work,7000.0,No,No,MMoney,No,5000,No,No,False,No
1023,Rural,45,No,No,No,Food,Business,9000.0,No,No,MMoney,No,15000,No,No,False,Yes
1030,Rural,56,No,Yes,No,Food,Employment,40000.0,Yes,No,MMoney,Yes,20000,Yes,Yes,False,Yes
1089,Rural,27,No,Yes,Yes,Business,Business,,No,No,MMoney,Yes,7500,No,Yes,True,Yes
1097,Rural,75,Yes,Yes,No,Health,Agriculture,5000.0,No,No,MMoney,No,5000,No,No,False,Yes
1031,Rural,30,No,No,No,Career,Casual_work,1000.0,No,No,MMoney,Yes,1000,No,No,True,No
1051,Rural,56,No,No,No,Food,Casual_work,3000.0,No,No,MMoney,Yes,2500,No,No,True,No
1012,Rural,36,No,No,No,Education,Business,1000.0,No,No,MMoney,Yes,10000,Yes,Yes,False,Yes
1066,Urban,21,No,No,No,Education,Casual_work,15000.0,No,No,MMoney,No,8000,No,No,False,No
1061,Urban,72,No,Yes,No,Food,Family,10000.0,No,No,,,,No,No,False,Yes
1004,Rural,51,No,No,No,Food,Casual_work,1500.0,No,No,MMoney,No,1600,No,No,False,No
1039,Urban,49,No,No,No,Food,Agriculture,20000.0,No,No,MMoney,Yes,10000,Yes,No,False,Yes
1081,Urban,26,No,No,No,Food,Family,3000.0,No,No,MMoney,No,10000,No,No,False,Yes
1073,Rural,48,No,Yes,No,Health,Agriculture,10000.0,No,No,MMoney,No,6000,No,No,False,Yes
1038,Rural,73,No,No,No,Education,Agriculture,,No,No,MMoney,No,6000,No,No,False,Yes
1006,Urban,22,No,No,No,Education,Casual_work,10000.0,No,No,MMoney,No,8000,No,No,False,No
1117,Urban,46,No,Yes,No,Education,Casual_work,10000.0,No,No,MMoney,Yes,6000,No,No,False,Yes
1037,Rural,40,Yes,No,No,Education,Casual_work,,No,No,MMoney,No,8000,No,No,False,No
1034,Rural,31,No,No,No,Food,Business,3600.0,No,No,MMoney,No,3400,No,No,False,Yes
1005,Rural,62,Yes,No,No,Health,Agriculture,10000.0,No,No,MMoney,Yes,10000,No,No,False,No
1032,Rural,36,No,Yes,No,Education,Casual_work,20000.0,No,No,MMoney,Yes,20000,Yes,No,False,Yes
1098,Urban,59,Yes,No,No,Home,Renting,10000.0,Yes,No,MMoney,Yes,11000,Yes,No,False,No
1022,Urban,27,No,Yes,Yes,Food,Agriculture,,No,No,Bank,No,12000,No,No,False,Yes
1034,Rural,28,No,No,No,Food,Casual_work,4800.0,No,No,MMoney,Yes,5000,No,No,True,No
1132,Urban,28,No,No,No,Career,Casual_work,6000.0,No,Yes,MMoney,No,8000,No,No,False,Yes
